désignation,français,traduction en créole guyanais
mot,Entrepreneur,"Antréprénèr, antrouprounò"
mot,Ennuyer,"Annouyé, annwiyé, annwiyen"
mot,Enveloper,"Pontonnen, plontonnen"
mot,Envelopper,Vlopé
mot,Épais,Pès
mot,Épi de maïs,Baton-mi
mot,Épouvantail,Bwabwa
mot,Éprendre (s’),Anmouraché
mot,Et puis,Épi
mot,Esprits des bois,"Gigonbya, Tonakri, Jan-Nao, Maskilili, Mèt-Bwa"
mot,Esquive,"Galman, kata-kata"
mot,Et bien !,Monfi ! Mo fi !
mot,Etaie,Zété
mot,Étirer (s’),Dérédi
mot,Étonné (faire l’),Kiwang
mot,Eux,Yé
mot,Exemple,"Lézanp, lègzanp, ègzanp"
mot,"Exiger, exigeant","Èjoujé, èjoujan (vieilli)"
mot,Expliquer,Espliké
mot,Expulser,"Kouri dèyè, voyé-alé"
mot,Fabriquant,Fèzò
mot,Fâché,"Biské, kòlè"
mot,Fainéant,Fenyan
mot,Faire court,Filé kont long
mot,Faire l’imbécile,Fè djendjen
mot,Faire la sieste,Sigalé (sigal=cigarette (vieilli))
mot,Faire le délicat,Fè chichi
mot,Faire le dur,"(Fè) ròklò, majò"
mot,Faire ses affaires,"Alé-viré, monté-désann"
mot,Faire vibrer,Troumousen
mot,Faner (qui se … vite),Boutché gimanmen
mot,Fauché,"San anyen, pòch ka koulé laglas"
mot,Faux (quelqu’un de),Anba-anba
mot,Fermer,Fronmen
mot,Fête,Tan
mot,Fiable (peu),"Bwa-pouri, lakrèm tournen, kouto kakao"
mot,Fin,Finisman
mot,"Fini, finir","Kaba, fini"
mot,Fois (une),Fwè
mot,Foutu,"Blogodow, pa vo anyen"
mot,Foyer de feu,"Fouyé, fouyé-difé"
mot,Froid,Frédi
mot,Fumée,"Lafimen, Laboukann"
mot,Fumer,Boukannen
mot,Garde-manger,Gad-manjé
mot,Gâteux,"Gaga, Agaga, bébétoum"
mot,Gatisme,Bébétoum
mot,Gendarmerie,Jandanbri
mot,Gens d’ailleurs,"Moun laro, anba, ròtbò, lavil, bitasyon, bati,
danbwa"
mot,Gnognote,Lapikoré
mot,"Gorge, œsophage",Gargann
mot,Gourmand,"Gouloufya, grouman, agoulou, agouloufya"
mot,Goût pour être chef,Koumandò
mot,Gouvernement,Gouvèlman
mot,Grand bruit,"Boukan, dézòrd"
mot,Grande taille (vêtements),Badja
mot,Grenier,"Galta, galita"
mot,Grenier,"Gala, laro griyen"
mot,Grimacer,Griyen
mot,Gringalet,"Drivayèr, drivayò"
mot,Gros,"Matengal, bi, papa, bakawa"
mot,Gros débris de manioc,Grigri
mot,Grosseur,"Gròsò, grosò, grosèr"
mot,Habiter,Rété
mot,Habitude,"Labitoud, labitid"
mot,Haillons (en),"Enpany, ranyon, griyon, grignon"
mot,Hamac,Ranmak
mot,Hameçon,"Penlen, zen"
mot,Hardi,Radi
mot,Hauteur,"Ròtò, otèr, rotèr"
mot,"Hazard,","Azò, ako (chance)"
mot,Herbe,Radjé
mot,Heureux,"Éré, tchò-kontan"
mot,Heurter,Bité
mot,Histoire,"Listwè, istwè"
mot,Histoire piquante,Bi
mot,"Homosexuel, efféminé","Makoumè, makoumè-lèlè"
mot,Honneur,"Lònò, lonèr"
mot,Hors de prix,"Rò-di-pri, chè"
mot,Hypocrite,Anba-anba
mot,Il est six heures,Li si-zò
mot,Il n’y en a pas,Gnanpwen
mot,Il ne suffit pas …,A pa loutou …
mot,Important,"Gro-mouché, gro-mòrdan"
mot,Indigence,Benyenyen
mot,Insecte,"Zinsèk, zagriyen, zagrignen, babo"
mot,Inséparable,"Lapo ké chimiz, zong ké lapo, tchilòt ké gogo"
mot,Insipide,"Chaw-chaw, mapou"
mot,Insolent,Fronté
mot,Instituteur,"Mèt-lékòl, métrès-lékòl"
mot,Instruire,Enstri
mot,Intéressant (faire l’),Gran larjò
mot,Interloqué,"Stébékwé, ababa"
mot,Interjection,Anfan’ djen’
mot,Inutilement,"Pou bon tchò, grémési, anyen d’tou"
mot,Inutilement,"Pou grémési, pou bon tchò"
mot,Jadis,"Ròt fwè, anvan, an tan lontan"
mot,Jaguar tâcheté,"Tig-marké, tig-lapousignen, lapousinyè"
mot,"Je suis là, comment?",Éti
mot,Jumeaux,Roro
mot,"Jusqu’à aujourd’hui, Jusqu’à maintenant","Jouk atò, jouk jòdla"
mot,Lampe à pétrole,"Chaldéviré, Lalanp, lalanp-chis, fanal"
mot,Largeur,"Larjò, larjèr"
mot,Larme,"Dlo-wéy, dilo-wéy"
mot,"Lent, lentement","Lanben, mòlpi, lando-lando"
mot,Lèpre,"Kokobé, lalèp"
mot,Lequel ?,"Kilakèl, kyakèl, lakèl, katchèl?"
mot,"Leur, leurs","Yé, yépa"
mot,Lieu commun,Chanm-Agat
mot,Lit,"Kabann, boukan, lit"
mot,Lit de campagne,Boukan
mot,"Loin, dans le ciel",Laro firmanman-an
mot,Longueur,"Londjò, Longèr"
mot,Lorsque,"Lò, Lòské"
mot,Loup-garou,Gigonbya
mot,Lourd,Pézan
mot,Luciole,Zoukouyanyan
mot,Lumière,"Limyèr, klèrté, klérité"
mot,Madame,"Madanm, Man …"
mot,Maigrelet,Flèkè
mot,Maintenant,Atchwèlman
mot,Maïs,Mi
mot,Maison,Kaz
mot,Majorine,"Djòk, matadò"
mot,Mal élevé,"Malapri, malélivé"
mot,Maladif,Kanyan-kanyan
mot,Malchance,Dévenn
mot,Malédiction,"Madichon, Limyèr pòrt-chanm"
mot,Malédiction (jetter une),"Pannèm, pannenm"
mot,Malheur,"Malèr, malò"
mot,Malheureux,"Maloré, maléré"
mot,Manchot (sans bras),Boutou
mot,Mangeur,Manjò
mot,Mariage après coup,Béni-koumè
mot,"Mariole, Fanfaron",Gèrè
mot,Marmite (vieille),"Chalfouk, Fétou, kannari"
mot,Marmonner,"Rounou-rounou, ronchonnen"
mot,Matelas,Payas
mot,Matière,"Gnangnan, nannan"
mot,Matin,Bonmanten
mot,Matin (le),Bonnannen
mot,"Matraque, massue, casse-tête",Boutou
mot,Mauvais petit garçon,Batmanman
mot,Mauvaise personne,Mové-vivan
mot,"Méchant, méchanceté","Michan, michansté"
mot,Médisant,Bouch-kabrit
mot,Médium,"Gadò, pyayò, pyayèr"
mot,Meilleur,Miyò
mot,Mélanger,"Lélé, touyé"
mot,Mes,Mo ….. yan
mot,Mesurer,Mizouré
mot,Mettre en morceau,"Dékartché, kaya-kaya, kakaya"
mot,Miette,Frifri
mot,Minablerie,Benyenyen
mot,Miséreux,Mizéré
mot,Moitié,Lanmotché
mot,Moitié,Motché
mot,Monsieur,Mouché
mot,Moquer,Charadé
mot,Moquer (se … de),"Foutan di, Charadé"
mot,Morceau,Bi
mot,"Morceau, tas, paquet","Ta, bi, patché"
mot,Morose,"Chagrinen, chagren"
mot,Mort,"Krab, « Bazil pran’l », dèd, mò, akabafya, kabafya"
mot,Moteur,Motèr
mot,Mouvement,Nika
mot,Mourir,mouri
mot,Murir mal,"Chaw chaw, Mapou"
mot,Murmurer,"Chwi-chwi-chwi, rounou-rounou, rourounou"
mot,"Murmurer, ronchonner","Bougonnen, chakalé, ronchon-ronchon"
mot,Musée de la culture,"Mizé kiltir, mizé di la kiltir"
mot,Musique hétéroclite,"Bouzengo, bouzingo"
mot,N’a …. Pas,"P’ka, pa ka"
mot,Natté,Dika
mot,Ne ….. pas,"Pa ka, p’ka, pou ka (vieilli)"
mot,"Ne … que, qu’à","Annik ki, ren’ki, yen’ki"
mot,Ne …. que,"Ren’ ki, yen’ki, en’ki"
mot,Ne valoir rien du tout,Rétayon
mot,Négresse,Négrès
mot,Nettoyer (un récipient),Froubi
mot,Noirceur,"Soukou, Soukousité"
mot,Nommer,"Aplé, « Kouman yé ka aplé to ? »"
mot,Non,"Non, en-en, awa, anwa"
mot,Nourrice,"Da, nennenn, nennen"
mot,Nouveau venu,Nèg nòv
mot,Obscurité,"Soukou, soukousité"
mot,"Occupant, pour une fillette","Fouyaya, katchopin"
mot,Occuper (s’…. de),"Étchipé, otchipé, okipé"
mot,"Occuper, Occupant","Otchipé, Otchipan, okipé, okipan"
mot,Odeur,Lòdò
mot,Oh mon Dieu !,Fout! Mo manman! Mo manman latò!
mot,Oiseau,"Zozo, ti zozo, zwézo, ti-jibyé"
mot,On ne joue plus !,Gnanpwen jwé ankò !
mot,On verra bien !,N’a wè ! Nou wa wè ! (vieilli) Nou ké wè !
mot,Orateur,Loratèr
mot,Ordure,Briyé
mot,Oreille,Zòrè
mot,"Oser, Risquer (se)",Gnanni
mot,Où est,"Oti, éti"
mot,Par écrit,Annékri
mot,Pardonnable,Padonab
mot,"Paresseux, (mouton paresseux)","Parsou, parsou-mouton"
mot,Parler pour ne rien dire,Tòtòbyòtò
mot,Parole,Kozman
mot,Parole,"Palò, mo"
mot,Participer,Bay andan
mot,Partir,"Do, pati, alé"
mot,Partir vite,Do
mot,Pas du tout,Ditou ditou
mot,Pas encore,Pòkò
mot,Pas question !,Défann
mot,Pasteur,"Pastò, Pastèr"
mot,Pauvreté,"Lapo, pov"
mot,Peau dure (avoir la),"Tanwen, lapo tanwen"
mot,Pentalon,Tchilòt
mot,Perdrix,"Pédri, Ayonn, Sòròl, Séròl"
mot,Personnage important,"Grotchap, gro-tèt, gran-grèk"
mot,Personne importante,"Tchap, dòkò, grèk"
mot,Personne insignifiante,Atchòpò
mot,Perturber (quelqu’un),Fè mo ponn
mot,Pesanteur,"Pézantò, pézantèr"
mot,Petit á petit,"Fèt an mizou, fèt an mizi, chikèt pa chikèt"
mot,Petit déjeuner,Tchenbé-tchò
mot,Petit matin,"Divan-jou, douvan-jou"
mot,Petit paquet de fruit,Griyo
mot,Petite affaire,Tchika
mot,Petite quantité,Chikèt
mot,Petite toux,Ken-renm-ken-renm
mot,Pétrole,Chis
mot,Peu de chose,Oun dimi ké lanmotché
mot,Peut-être,"Pitèt, oro, oroyo"
mot,Piège à poisson,"Tatawé, goli, kaminan"
mot,Piquer avec une pointe,Djouké
mot,Piquet,Pitchèt
mot,Piquet pour le cannot,Ayarou
mot,Piquoter,"Tchoukounen, tchoukonnnen"
mot,Plein (à craquer),"Tim, bak-foul"
mot,Pleurer,"Kriyé, pléré"
mot,Pluie légère,"Lapousinyen, lapousignen, lapousinyè,
lapousignè, fifinen (lapli ka…)"
mot,Plus que,Plis pasé
mot,"Poids, Pesanteur",Pézantò
mot,Poisson,"Poson, pwéson, pwason"
mot,Poitrine,Potrin
mot,Porter aux nues,Anpan-mbèlè
mot,Porter déveine,Wè malò
mot,Portrait,Potrè
mot,Poupée,Katen
mot,Pour (lui),"Bay, bay li"
mot,Pourvu que,Provik ki
mot,Précipitation,Gidi-gidi
mot,Préférer,"Miyò, simyé"
mot,Premier,"Pronmyé, prémyé"
mot,Prend quelque chose,Dap (oun bagaj)
mot,Prendre le dessert,Dèsè
mot,Prendre ses responsabilités,"Maré ren, maré kanmza, … sentir"
mot,Prendre son courage,Maré so kanmza
mot,Près de,"Òbò, abò"
mot,Prestance,Gréman
mot,Prison (le),Lajòl
mot,Problème,"Djopopo, lélékou, trafalga"
mot,Prochain,Ka vini an
